Name,country,latitude,longitude,max temperature,cloudiness,date,humidity,wind speed
hobyo,SO,5.35,48.53,76.26,92,1551469622,92,8.43
castro,CL,-42.48,-73.76,64.4,75,1551466800,68,6.93
cheremshan,RU,54.66,51.51,29.46,88,1551469690,92,7.54
busselton,AU,-33.64,115.35,52,68,1551469529,49,7.43
ostrovnoy,RU,68.05,39.51,15.65,68,1551469695,91,10.78
nuevo progreso,US,26.05,-97.95,75.2,75,1551469665,73,9.17
the pas,CA,53.82,-101.24,-5.81,90,1551467160,63,4.7
beringovskiy,RU,63.05,179.32,24.69,20,1551469278,81,15.48
port elizabeth,US,39.31,-74.98,37,90,1551469658,97,11.41
khonuu,,,,,,,,
rikitea,PF,-23.12,-134.97,77.16,44,1551469700,100,13.8
port macquarie,AU,-31.43,152.91,64.4,36,1551469445,93,5.97
kamenka,RU,53.19,44.05,29.06,92,1551469701,96,8.43
mountain home,US,43.13,-115.69,43,20,1551469617,48,10.29
ribeira grande,PT,38.52,-28.7,60.8,40,1551466800,87,14.99
punta arenas,CL,-53.16,-70.91,55.4,75,1551469392,87,9.17
bethel,US,60.79,-161.76,37.4,90,1551466560,80,6.93
louisbourg,,,,,,,,
plettenberg bay,ZA,-34.05,23.37,64.61,0,1551469705,99,3.62
khonsar,,,,,,,,
rocha,UY,-34.48,-54.34,81.39,32,1551469705,40,11.34
hami,CN,42.84,93.51,24.33,0,1551469706,47,6.31
lebu,ET,8.96,38.73,64.4,20,1551466800,42,9.17
kapaa,US,22.08,-159.32,71.6,75,1551469543,60,4.7
albany,US,42.65,-73.75,39,40,1551469700,40,3.51
amderma,,,,,,,,
mataura,NZ,-46.19,168.86,53.01,92,1551469205,87,1.99
carnarvon,ZA,-30.97,22.13,63.48,0,1551469708,37,7.65
manggar,ID,-2.88,108.27,77.52,64,1551469710,100,6.2
caravelas,BR,-17.73,-39.27,84.36,32,1551469122,99,18.16
ushuaia,AR,-54.81,-68.31,55.4,75,1551466800,58,6.93
belmonte,PT,40.36,-7.35,52,48,1551469705,88,6.2
rungata,,,,,,,,
vaini,IN,15.34,74.49,57.36,0,1551469713,73,2.39
broome,GB,52.47,1.45,48.2,75,1551469385,81,5.82
airai,TL,-8.93,125.41,70.32,64,1551469714,91,0.72
point pedro,LK,9.82,80.23,79.86,68,1551469714,100,13.69
oistins,BB,13.07,-59.53,84.2,20,1551466800,54,26.4
kaeo,NZ,-35.1,173.78,59,0,1551469088,91,6.76
saskylakh,RU,71.97,114.09,-24.63,12,1551469715,36,5.97
tuktoyaktuk,CA,69.44,-133.03,-7.61,75,1551466800,69,21.92
tasiilaq,GL,65.61,-37.64,23,68,1551466200,79,43.62
belushya guba,,,,,,,,
melivoia,GR,41.33,24.93,52,0,1551469709,81,5.82
kaitangata,NZ,-46.28,169.85,53.45,32,1551469717,84,10.78
fortuna,ES,38.18,-1.13,59,0,1551469709,87,7.76
victoria,BN,5.28,115.24,78.01,75,1551466800,94,3.36
san cristobal,EC,-0.39,-78.55,69.8,75,1551468725,52,12.75
hobart,AU,-42.88,147.33,73.4,0,1551469514,43,12.75
puerto ayora,EC,-0.74,-90.35,87.8,20,1551466800,62,12.75
poum,MK,41.28,20.71,44.6,0,1551466800,56,6.93
port-de-bouc,FR,43.4,4.98,59,0,1551469650,44,19.46
stromness,CA,42.87,-79.55,37.99,75,1551469700,58,6.93
prado,BR,-17.34,-39.22,83.78,12,1551469720,93,17.05
phan rang,,,,,,,,
mar del plata,AR,-46.43,-67.52,69.69,8,1551469722,48,4.74
vestbygda,,,,,,,,
andover,US,42.66,-71.14,39,1,1551469520,47,6.93
naron,ES,43.52,-8.15,57.99,75,1551469720,82,8.05
simeykyne,,,,,,,,
bluff,AU,-23.58,149.07,71.49,8,1551469726,69,12.12
vila velha,BR,-3.71,-38.6,84.2,40,1551469252,70,8.05
kodiak,US,39.95,-94.76,33.01,75,1551469707,100,11.41
hofn,IS,64.25,-15.21,42.8,90,1551466800,75,13.87
vila franca do campo,PT,37.72,-25.43,60.8,40,1551469635,87,10.29
katobu,ID,-4.94,122.53,81.8,92,1551469727,98,4.97
bredasdorp,ZA,-34.53,20.04,64.4,12,1551469596,72,2.24
rio gallegos,AR,-51.62,-69.22,64.4,90,1551466800,52,12.75
cherskiy,RU,68.75,161.3,-6.63,68,1551469283,72,6.98
ajdabiya,LY,30.75,20.22,44.63,0,1551469734,85,4.74
hilo,US,19.71,-155.08,72,1,1551469695,53,8.05
nikolskoye,RU,59.7,30.79,21.2,0,1551469509,62,13.42
maasbree,NL,51.36,6.05,44.01,75,1551469734,81,5.82
thompson,CA,55.74,-97.86,-5.81,75,1551466800,58,9.17
dong hoi,VN,17.48,106.6,74.1,20,1551469743,97,8.21
oleksandrivka,UA,48.97,32.24,31.31,80,1551469745,75,15.93
taolanaro,,,,,,,,
khatanga,RU,71.98,102.47,-17.21,20,1551469750,49,3.74
barrow,AR,-38.31,-60.23,71.94,32,1551469750,40,18.95
butaritari,KI,3.07,172.79,82.65,56,1551469751,100,16.49
klaksvik,FO,62.23,-6.59,44.6,80,1551468000,93,11.41
sao luis de montes belos,BR,-16.52,-50.37,81.8,32,1551469754,67,6.2
yellowknife,CA,62.45,-114.38,-9.01,20,1551469665,56,3.36
kawalu,ID,-7.38,108.21,65.82,68,1551469754,94,2.28
ilhabela,BR,-23.78,-45.36,74.33,92,1551469756,100,5.08
buta,CD,2.79,24.73,70.1,80,1551469651,95,2.28
mikumi,TZ,-7.4,36.98,69.69,20,1551469759,94,2.39
touros,BR,-5.2,-35.46,84.18,68,1551469579,71,9.1
cape town,ZA,-33.93,18.42,69.01,0,1551469565,77,6.93
kimberley,ZA,-28.74,24.76,73.4,0,1551466800,31,2.24
caucaia,BR,-3.73,-38.66,84.2,40,1551469252,70,8.05
new norfolk,AU,-42.78,147.06,73.4,0,1551469454,43,12.75
jamestown,AU,-33.21,138.6,70.41,0,1551469628,39,9.66
hargeysa,SO,9.56,44.06,58.71,0,1551469771,90,3.18
hermanus,ZA,-34.42,19.24,68,0,1551469624,88,2.62
ancud,CL,-41.87,-73.83,64.4,75,1551466800,68,6.93
watsa,CD,3.04,29.53,64.29,0,1551469772,94,3.51
bengkulu,,,,,,,,
forio,IT,40.73,13.86,55,75,1551469774,93,6.76
college,US,64.86,-147.8,19,1,1551469207,83,2.17
douentza,ML,15.01,-2.95,58.71,0,1551469777,33,6.42
torbay,CA,47.66,-52.73,26.01,20,1551469683,58,25.28
mahebourg,MU,-20.41,57.7,82.4,75,1551469739,83,9.17
suchitoto,SV,13.94,-89.03,87.8,20,1551469542,58,9.17
huixquilucan,MX,19.36,-99.35,84.2,5,1551469386,17,6.93
knysna,ZA,-34.04,23.05,64.4,0,1551466800,88,3.36
lavrentiya,RU,65.58,-170.99,23.79,88,1551469782,89,4.97
belyy yar,RU,53.6,91.39,17.6,0,1551466800,85,2.62
te anau,NZ,-45.41,167.72,48.81,0,1551469782,77,0.94
rafraf,TN,37.19,10.18,57.2,40,1551466800,76,16.11
provideniya,RU,64.42,-173.23,21.72,20,1551469784,100,9.1
chokurdakh,RU,70.62,147.9,-28.68,20,1551469784,46,2.95
dawlatabad,AF,36.41,64.91,45.93,88,1551469785,87,4.97
panaba,MX,21.28,-88.27,81.12,44,1551469785,69,6.42
flinders,AU,-34.58,150.85,73,44,1551469746,100,3.85
pontes e lacerda,BR,-15.23,-59.33,84.41,0,1551469786,75,4.41
qandala,SO,11.47,49.87,63.12,0,1551469786,99,2.95
nossa senhora da gloria,BR,-10.22,-37.42,86.3,20,1551469786,48,14.03
avarua,CK,-21.21,-159.78,82.4,68,1551466800,83,3.36
weyburn,CA,49.67,-103.85,6.01,44,1551469355,80,20
tiksi,RU,71.64,128.87,-11.58,48,1551469789,56,2.95
dalvik,SE,57.79,14.13,28,0,1551469539,92,2.95
naze,NG,5.43,7.07,82.4,20,1551466800,83,2.24
labuhan,ID,-2.54,115.51,73.83,92,1551469791,92,1.39
faanui,PF,-16.48,-151.75,82.25,88,1551469794,100,8.77
georgetown,GY,6.8,-58.16,78.24,36,1551469797,77,7.2
shingu,JP,33.72,135.99,46.65,24,1551469798,100,10.67
nueva gerona,CU,21.88,-82.8,82.38,0,1551469798,79,6.42
ardistan,,,,,,,,
durgapur,IN,23.54,87.34,52.95,0,1551469801,72,4.97
bichura,RU,50.59,107.6,11.55,36,1551469803,62,2.73
ilulissat,GL,69.22,-51.1,24.8,20,1551466200,79,12.75
cidreira,BR,-30.17,-50.22,78.33,24,1551469804,65,11.45
zaliznychne,UA,47.65,36.17,35.6,0,1551466800,80,15.66
rawannawi,,,,,,,,
les cayes,HT,18.19,-73.75,81.12,0,1551469805,91,11.45
yomitan,,,,,,,,
mentok,,,,,,,,
iskateley,RU,67.68,53.15,8.45,48,1551469807,78,12.35
chuy,UY,-33.69,-53.46,82.92,0,1551469807,51,9.55
tayu,JP,35.06,136.67,46.4,20,1551469129,100,28.86
dikson,RU,73.51,80.55,-4.02,24,1551469810,76,23.76
paamiut,GL,61.99,-49.67,32.93,88,1551469811,85,4.63
luorong,CN,24.41,109.6,64.02,92,1551469811,93,10
vao,EE,59.1,26.19,14.16,0,1551469423,83,5.75
cabo san lucas,MX,22.89,-109.91,88,5,1551469586,44,5.82
omsukchan,RU,62.53,155.8,-19.05,68,1551469815,74,2.62
cobija,BR,-11.02,-68.77,86,75,1551466800,70,10.29
hithadhoo,MV,-0.6,73.08,82.92,80,1551469819,100,8.21
mocuba,MZ,-16.84,36.99,79.55,68,1551469823,79,4.63
bolungarvik,,,,,,,,
sitka,US,37.17,-99.65,50.93,0,1551469824,60,7.43
samusu,,,,,,,,
coquimbo,CL,-29.95,-71.34,68,40,1551466800,68,8.05
severo-kurilsk,RU,50.68,156.12,15.83,36,1551469304,100,7.2
tongliao,CN,43.61,122.27,27.93,0,1551469828,52,12.01
margate,AU,-43.03,147.26,73.4,0,1551469814,43,12.75
luderitz,NA,-26.65,15.16,65.15,0,1551469831,71,18.28
malanje,AO,-9.54,16.35,67.17,92,1551469832,99,4.52
